pearson,p,lon,lat,Country,pattern
-0.380748316,0.018,107.125,10.375,Vietnam,intensifying hot spot
-0.335415932,0.037,107.125,10.625,Vietnam,intensifying hot spot
-0.127034169,0.447,107.125,10.875,Vietnam,intensifying hot spot
0.148966827,0.365,107.125,11.125,Vietnam,intensifying hot spot
-0.090066243,0.586,107.125,11.375,Vietnam,intensifying hot spot
-0.31507489,0.07,107.125,20.875,Vietnam,intensifying hot spot
-0.159668517,0.332,107.375,10.375,Vietnam,intensifying hot spot
0.14171295,0.389,107.375,10.625,Vietnam,intensifying hot spot
-0.211748779,0.202,107.375,10.875,Vietnam,intensifying hot spot
-0.378225543,0.019,107.875,-6.125,Indonesia,intensifying hot spot
-0.378769046,0.019,107.875,-6.375,Indonesia,intensifying hot spot
-0.182148264,0.274,107.875,-6.625,Indonesia,intensifying hot spot
-0.699168502,0,108.125,-6.375,Indonesia,intensifying hot spot
-0.174898213,0.287,108.125,-6.625,Indonesia,intensifying hot spot
-0.429775985,0.006,108.375,-6.375,Indonesia,intensifying hot spot
-0.099418428,0.547,108.375,-6.625,Indonesia,intensifying hot spot
-0.062085901,0.707,113.625,-6.875,Indonesia,intensifying hot spot
-0.489171205,0.002,113.625,-7.125,Indonesia,intensifying hot spot
-0.474521646,0.003,113.875,-6.875,Indonesia,intensifying hot spot
-0.220639193,0.183,113.875,-7.125,Indonesia,intensifying hot spot
-0.396174865,0.013,99.625,13.625,Thailand,intensifying hot spot
-0.270832533,0.095,99.625,13.875,Thailand,intensifying hot spot
-0.003355138,0.984,99.625,14.125,Thailand,intensifying hot spot
-0.354688642,0.027,99.625,14.375,Thailand,intensifying hot spot
-0.233624675,0.164,99.625,14.625,Thailand,intensifying hot spot
-0.444636486,0.005,99.875,13.375,Thailand,intensifying hot spot
-0.558863576,0,99.875,13.625,Thailand,intensifying hot spot
-0.507169343,0.001,99.875,13.875,Thailand,intensifying hot spot
-0.210282442,0.199,99.875,14.125,Thailand,intensifying hot spot
-0.393796941,0.013,99.875,14.375,Thailand,intensifying hot spot
-0.352966638,0.03,99.875,14.625,Thailand,intensifying hot spot
-0.289535138,0.074,99.875,14.875,Thailand,intensifying hot spot
-0.339437027,0.037,99.875,15.125,Thailand,intensifying hot spot
-0.237206717,0.146,99.875,15.375,Thailand,intensifying hot spot
-0.328038167,0.041,99.875,15.625,Thailand,intensifying hot spot
0.115625469,0.489,100.125,5.375,Malaysia,persistent hot spot
-0.066229429,0.689,100.375,5.125,Malaysia,persistent hot spot
-0.233766639,0.152,100.625,4.125,Malaysia,persistent hot spot
0.089479205,0.588,100.625,4.375,Malaysia,persistent hot spot
0.041124197,0.804,100.625,4.625,Malaysia,persistent hot spot
-0.257420342,0.114,100.625,4.875,Malaysia,persistent hot spot
0.149843681,0.363,100.625,5.125,Malaysia,persistent hot spot
-0.369438876,0.021,100.875,3.625,Malaysia,persistent hot spot
-0.605898862,0,100.875,3.875,Malaysia,persistent hot spot
-0.38562083,0.015,100.875,4.125,Malaysia,persistent hot spot
0.052241209,0.752,100.875,4.375,Malaysia,persistent hot spot
0.008803837,0.958,100.875,4.625,Malaysia,persistent hot spot
0.139003559,0.399,100.875,4.875,Malaysia,persistent hot spot
0.415503515,0.009,100.875,5.125,Malaysia,persistent hot spot
0.037333604,0.821,101.125,3.375,Malaysia,persistent hot spot
-0.210949603,0.197,101.125,3.625,Malaysia,persistent hot spot
0.054218655,0.743,101.125,3.875,Malaysia,persistent hot spot
