,lon,lat
930,85.125,19.375
931,85.125,19.125
932,85.125,18.875
933,85.125,18.625
934,85.125,18.375
935,85.125,18.125
936,85.125,17.875
937,85.125,17.625
938,85.125,17.375
939,85.125,17.125
940,85.125,16.875
941,85.125,16.625
942,85.125,16.375
943,85.125,16.125
944,85.125,15.875
945,85.125,15.625
946,85.125,15.375
947,85.125,15.125
948,85.125,14.875
949,85.125,14.625
950,85.125,14.375
951,85.125,14.125
952,85.125,13.875
953,85.125,13.625
954,85.125,13.375
955,85.125,13.125
956,85.125,12.875
957,85.125,12.625
958,85.125,12.375
959,85.125,12.125
960,85.125,11.875
961,85.125,11.625
962,85.125,11.375
963,85.125,11.125
964,85.125,10.875
965,85.125,10.625
966,85.125,10.375
967,85.125,10.125
968,85.125,9.875
969,85.125,9.625
970,85.125,9.375
971,85.125,9.125
972,85.125,8.875
973,85.125,8.625
974,85.125,8.375
975,85.125,8.125
976,85.125,7.875
977,85.125,7.625
978,85.125,7.375
979,85.125,7.125
980,85.125,6.875
981,85.125,6.625
982,85.125,6.375
983,85.125,6.125
984,85.125,5.875
985,85.125,5.625
986,85.125,5.375
987,85.125,5.125
988,85.125,4.875
989,85.125,4.625
990,85.125,4.375
991,85.125,4.125
992,85.125,3.875
993,85.125,3.625
994,85.125,3.375
995,85.125,3.125
996,85.125,2.875
997,85.125,2.625
998,85.125,2.375
999,85.125,2.125
1000,85.125,1.875
1001,85.125,1.625
1002,85.125,1.375
1003,85.125,1.125
1004,85.125,0.875
1005,85.125,0.625
1006,85.125,0.375
1007,85.125,0.125
1008,85.125,-0.125
1009,85.125,-0.375
1010,85.125,-0.625
1011,85.125,-0.875
1012,85.125,-1.125
1013,85.125,-1.375
1014,85.125,-1.625
1015,85.125,-1.875
1016,85.125,-2.125
1017,85.125,-2.375
1018,85.125,-2.625
1019,85.125,-2.875
1020,85.125,-3.125
1021,85.125,-3.375
1022,85.125,-3.625
1023,85.125,-3.875
1024,85.125,-4.125
1025,85.125,-4.375
1026,85.125,-4.625
1027,85.125,-4.875
1028,85.125,-5.125
1029,85.125,-5.375
1030,85.125,-5.625
1031,85.125,-5.875
1032,85.125,-6.125
1033,85.125,-6.375
1034,85.125,-6.625
1035,85.125,-6.875
1036,85.125,-7.125
1037,85.125,-7.375
1038,85.125,-7.625
1039,85.125,-7.875
1040,85.125,-8.125
1041,85.125,-8.375
1042,85.125,-8.625
1043,85.125,-8.875
1044,85.125,-9.125
1045,85.125,-9.375
1046,85.125,-9.625
1047,85.125,-9.875
1048,85.125,-10.125
1049,85.125,-10.375
1050,85.125,-10.625
1051,85.125,-10.875
1052,85.125,-11.125
1053,85.125,-11.375
1054,85.125,-11.625
1055,85.125,-11.875
1056,85.375,31.875
1057,85.375,31.625
1058,85.375,31.375
1059,85.375,31.125
1060,85.375,30.875
1061,85.375,30.625
1062,85.375,30.375
1063,85.375,30.125
1064,85.375,29.875
1065,85.375,29.625
1066,85.375,29.375
1067,85.375,29.125
1068,85.375,28.875
1069,85.375,28.625
1070,85.375,28.375
1071,85.375,28.125
1072,85.375,27.875
1073,85.375,27.625
1074,85.375,27.375
1075,85.375,27.125
1076,85.375,26.875
1077,85.375,26.625
1078,85.375,26.375
1079,85.375,26.125
1080,85.375,25.875
1081,85.375,25.625
1082,85.375,25.375
1083,85.375,25.125
1084,85.375,24.875
1085,85.375,24.625
1086,85.375,24.375
1087,85.375,24.125
1088,85.375,23.875
1089,85.375,23.625
1090,85.375,23.375
1091,85.375,23.125
1092,85.375,22.875
1093,85.375,22.625
1094,85.375,22.375
1095,85.375,22.125
1096,85.375,21.875
1097,85.375,21.625
1098,85.375,21.375
1099,85.375,21.125
1100,85.375,20.875
1101,85.375,20.625
1102,85.375,20.375
1103,85.375,20.125
1104,85.375,19.875
1105,85.375,19.625
1106,85.375,19.375
1107,85.375,19.125
1108,85.375,18.875
1109,85.375,18.625
1110,85.375,18.375
1111,85.375,18.125
1112,85.375,17.875
1113,85.375,17.625
1114,85.375,17.375
1115,85.375,17.125
1116,85.375,16.875
1117,85.375,16.625
1118,85.375,16.375
1119,85.375,16.125
1120,85.375,15.875
1121,85.375,15.625
1122,85.375,15.375
1123,85.375,15.125
1124,85.375,14.875
1125,85.375,14.625
1126,85.375,14.375
1127,85.375,14.125
1128,85.375,13.875
1129,85.375,13.625
1130,85.375,13.375
1131,85.375,13.125
1132,85.375,12.875
1133,85.375,12.625
1134,85.375,12.375
1135,85.375,12.125
1136,85.375,11.875
1137,85.375,11.625
1138,85.375,11.375
1139,85.375,11.125
1140,85.375,10.875
1141,85.375,10.625
1142,85.375,10.375
1143,85.375,10.125
1144,85.375,9.875
1145,85.375,9.625
1146,85.375,9.375
1147,85.375,9.125
1148,85.375,8.875
1149,85.375,8.625
1150,85.375,8.375
1151,85.375,8.125
1152,85.375,7.875
1153,85.375,7.625
1154,85.375,7.375
1155,85.375,7.125
1156,85.375,6.875
1157,85.375,6.625
1158,85.375,6.375
1159,85.375,6.125
1160,85.375,5.875
1161,85.375,5.625
1162,85.375,5.375
1163,85.375,5.125
1164,85.375,4.875
1165,85.375,4.625
1166,85.375,4.375
1167,85.375,4.125
1168,85.375,3.875
1169,85.375,3.625
1170,85.375,3.375
1171,85.375,3.125
1172,85.375,2.875
1173,85.375,2.625
1174,85.375,2.375
1175,85.375,2.125
1176,85.375,1.875
1177,85.375,1.625
1178,85.375,1.375
1179,85.375,1.125
1180,85.375,0.875
1181,85.375,0.625
1182,85.375,0.375
1183,85.375,0.125
1184,85.375,-0.125
1185,85.375,-0.375
1186,85.375,-0.625
1187,85.375,-0.875
1188,85.375,-1.125
1189,85.375,-1.375
1190,85.375,-1.625
1191,85.375,-1.875
1192,85.375,-2.125
1193,85.375,-2.375
1194,85.375,-2.625
1195,85.375,-2.875
1196,85.375,-3.125
1197,85.375,-3.375
1198,85.375,-3.625
1199,85.375,-3.875
1200,85.375,-4.125
1201,85.375,-4.375
1202,85.375,-4.625
1203,85.375,-4.875
1204,85.375,-5.125
1205,85.375,-5.375
1206,85.375,-5.625
1207,85.375,-5.875
1208,85.375,-6.125
1209,85.375,-6.375
1210,85.375,-6.625
1211,85.375,-6.875
1212,85.375,-7.125
1213,85.375,-7.375
1214,85.375,-7.625
1215,85.375,-7.875
1216,85.375,-8.125
1217,85.375,-8.375
1218,85.375,-8.625
1219,85.375,-8.875
1220,85.375,-9.125
1221,85.375,-9.375
1222,85.375,-9.625
1223,85.375,-9.875
1224,85.375,-10.125
1225,85.375,-10.375
1226,85.375,-10.625
1227,85.375,-10.875
1228,85.375,-11.125
1229,85.375,-11.375
1230,85.375,-11.625
1231,85.375,-11.875
1232,85.625,31.875
1233,85.625,31.625
1234,85.625,31.375
1235,85.625,31.125
1236,85.625,30.875
1237,85.625,30.625
1238,85.625,30.375
1239,85.625,30.125
1240,85.625,29.875
1241,85.625,29.625
1242,85.625,29.375
1243,85.625,29.125
1244,85.625,28.875
1245,85.625,28.625
1246,85.625,28.375
1247,85.625,28.125
1248,85.625,27.875
1249,85.625,27.625
1250,85.625,27.375
1251,85.625,27.125
1252,85.625,26.875
1253,85.625,26.625
1254,85.625,26.375
1255,85.625,26.125
1256,85.625,25.875
1257,85.625,25.625
1258,85.625,25.375
1259,85.625,25.125
1260,85.625,24.875
1261,85.625,24.625
1262,85.625,24.375
1263,85.625,24.125
1264,85.625,23.875
1265,85.625,23.625
1266,85.625,23.375
1267,85.625,23.125
1268,85.625,22.875
1269,85.625,22.625
1270,85.625,22.375
1271,85.625,22.125
1272,85.625,21.875
1273,85.625,21.625
1274,85.625,21.375
1275,85.625,21.125
1276,85.625,20.875
1277,85.625,20.625
1278,85.625,20.375
1279,85.625,20.125
1280,85.625,19.875
1281,85.625,19.625
1282,85.625,19.375
1283,85.625,19.125
1284,85.625,18.875
1285,85.625,18.625
1286,85.625,18.375
1287,85.625,18.125
1288,85.625,17.875
1289,85.625,17.625
1290,85.625,17.375
1291,85.625,17.125
1292,85.625,16.875
1293,85.625,16.625
1294,85.625,16.375
1295,85.625,16.125
1296,85.625,15.875
1297,85.625,15.625
1298,85.625,15.375
1299,85.625,15.125
1300,85.625,14.875
1301,85.625,14.625
1302,85.625,14.375
1303,85.625,14.125
1304,85.625,13.875
1305,85.625,13.625
1306,85.625,13.375
1307,85.625,13.125
1308,85.625,12.875
1309,85.625,12.625
1310,85.625,12.375
1311,85.625,12.125
1312,85.625,11.875
1313,85.625,11.625
1314,85.625,11.375
1315,85.625,11.125
1316,85.625,10.875
1317,85.625,10.625
1318,85.625,10.375
1319,85.625,10.125
1320,85.625,9.875
1321,85.625,9.625
1322,85.625,9.375
1323,85.625,9.125
1324,85.625,8.875
1325,85.625,8.625
1326,85.625,8.375
1327,85.625,8.125
1328,85.625,7.875
1329,85.625,7.625
