lon,lat,Code,Country
116.625,4.375,MYS,Malaysia
101.875,13.375,THA,Thailand
104.375,-1.625,IDN,Indonesia
113.125,3.125,MYS,Malaysia
106.125,16.125,LAO,Laos
108.375,-6.875,IDN,Indonesia
101.125,19.875,LAO,Laos
97.625,19.375,MMR,Myanmar
102.375,3.625,MYS,Malaysia
134.125,-2.625,IDN,Indonesia
102.375,1.375,IDN,Indonesia
99.125,12.125,MMR,Myanmar
98.125,23.125,MMR,Myanmar
98.375,21.625,MMR,Myanmar
121.625,14.375,PHL,Philippines
112.875,-2.375,IDN,Indonesia
106.125,9.375,VNM,Vietnam
94.375,20.625,MMR,Myanmar
103.625,16.375,THA,Thailand
100.625,16.875,THA,Thailand
105.375,20.875,VNM,Vietnam
99.125,19.375,THA,Thailand
103.625,-2.375,IDN,Indonesia
121.875,-3.375,IDN,Indonesia
115.375,-2.375,IDN,Indonesia
98.625,20.625,MMR,Myanmar
98.625,22.375,MMR,Myanmar
140.625,-6.125,IDN,Indonesia
104.125,-2.875,IDN,Indonesia
113.625,2.375,MYS,Malaysia
115.875,4.375,MYS,Malaysia
102.875,18.375,LAO,Laos
114.625,1.875,MYS,Malaysia
103.625,21.125,VNM,Vietnam
108.125,-7.625,IDN,Indonesia
116.125,-3.875,IDN,Indonesia
115.125,3.375,MYS,Malaysia
98.125,23.625,MMR,Myanmar
98.875,8.375,THA,Thailand
124.875,10.625,PHL,Philippines
97.625,17.125,MMR,Myanmar
106.875,15.875,LAO,Laos
134.875,-4.125,IDN,Indonesia
100.375,17.125,THA,Thailand
137.875,-1.875,IDN,Indonesia
132.625,-0.375,IDN,Indonesia
109.625,0.125,IDN,Indonesia
99.375,8.625,THA,Thailand
104.875,13.625,KHM,Cambodia
122.375,-3.875,IDN,Indonesia
99.875,1.375,IDN,Indonesia
135.125,-3.875,IDN,Indonesia
113.375,-7.125,IDN,Indonesia
117.125,6.875,MYS,Malaysia
106.875,13.125,KHM,Cambodia
97.125,17.625,MMR,Myanmar
140.375,-6.875,IDN,Indonesia
98.875,15.625,THA,Thailand
95.375,19.375,MMR,Myanmar
124.875,11.125,PHL,Philippines
99.125,15.125,THA,Thailand
120.125,-1.375,IDN,Indonesia
139.625,-7.375,IDN,Indonesia
94.625,22.625,MMR,Myanmar
98.375,21.375,MMR,Myanmar
116.875,4.375,MYS,Malaysia
138.375,-7.875,IDN,Indonesia
105.125,21.375,VNM,Vietnam
97.875,3.375,IDN,Indonesia
97.875,21.125,MMR,Myanmar
94.375,19.375,MMR,Myanmar
102.875,0.125,IDN,Indonesia
134.625,-2.875,IDN,Indonesia
107.125,13.375,KHM,Cambodia
124.875,11.875,PHL,Philippines
112.625,-1.375,IDN,Indonesia
