system:index,lat,lon
799,8.125,120.875
800,7.875,120.875
801,7.625,120.875
802,7.375,120.875
803,7.125,120.875
804,6.875,120.875
805,6.625,120.875
806,6.375,120.875
807,6.125,120.875
808,5.875,120.875
809,5.625,120.875
810,5.375,120.875
811,5.125,120.875
812,4.875,120.875
813,4.625,120.875
814,4.375,120.875
815,4.125,120.875
816,3.875,120.875
817,3.625,120.875
818,3.375,120.875
819,3.125,120.875
820,2.875,120.875
821,2.625,120.875
822,2.375,120.875
823,2.125,120.875
824,1.875,120.875
825,1.625,120.875
826,1.375,120.875
827,1.125,120.875
828,0.875,120.875
829,0.625,120.875
830,0.375,120.875
831,0.125,120.875
832,-0.125,120.875
833,-0.375,120.875
834,-0.625,120.875
835,-0.875,120.875
836,-1.125,120.875
837,-1.375,120.875
838,-1.625,120.875
839,-1.875,120.875
840,-2.125,120.875
841,-2.375,120.875
842,-2.625,120.875
843,-2.875,120.875
844,-3.125,120.875
845,-3.375,120.875
846,-3.625,120.875
847,-3.875,120.875
848,-4.125,120.875
849,-4.375,120.875
850,-4.625,120.875
851,-4.875,120.875
852,-5.125,120.875
853,-5.375,120.875
854,-5.625,120.875
855,-5.875,120.875
856,-6.125,120.875
857,-6.375,120.875
858,-6.625,120.875
859,-6.875,120.875
860,-7.125,120.875
861,-7.375,120.875
862,-7.625,120.875
863,-7.875,120.875
864,-8.125,120.875
865,-8.375,120.875
866,-8.625,120.875
867,-8.875,120.875
868,-9.125,120.875
869,-9.375,120.875
870,-9.625,120.875
871,-9.875,120.875
872,-10.125,120.875
873,-10.375,120.875
874,-10.625,120.875
875,-10.875,120.875
876,-11.125,120.875
877,-11.375,120.875
878,-11.625,120.875
879,-11.875,120.875
880,31.875,121.125
881,31.625,121.125
882,31.375,121.125
883,31.125,121.125
884,30.875,121.125
885,30.625,121.125
886,30.375,121.125
887,30.125,121.125
888,29.875,121.125
889,29.625,121.125
890,29.375,121.125
891,29.125,121.125
892,28.875,121.125
893,28.625,121.125
894,28.375,121.125
895,28.125,121.125
896,27.875,121.125
897,27.625,121.125
898,27.375,121.125
899,27.125,121.125
900,26.875,121.125
901,26.625,121.125
902,26.375,121.125
903,26.125,121.125
904,25.875,121.125
905,25.625,121.125
906,25.375,121.125
907,25.125,121.125
908,24.875,121.125
909,24.625,121.125
910,24.375,121.125
911,24.125,121.125
912,23.875,121.125
913,23.625,121.125
914,23.375,121.125
915,23.125,121.125
916,22.875,121.125
917,22.625,121.125
918,22.375,121.125
919,22.125,121.125
920,21.875,121.125
921,21.625,121.125
922,21.375,121.125
